Filename,Class,Width,Height,Size (kB)
1a8df39f-4959-42f5-a206-694c40fafb31.jpg,Small bowel_terminal ileum,1920,1072,410.71
0f886d51-8576-4208-a850-98aefb696241.jpg,Small bowel_terminal ileum,720,576,168.493
142df188-9742-4bce-a38a-792d312c65bf.jpg,Small bowel_terminal ileum,768,576,160.546
820228e5-df1a-4bba-a583-a9ca63cae865.jpg,Small bowel_terminal ileum,768,576,295.395
01f5059a-6922-4619-8b06-28f3cb620a54.jpg,Small bowel_terminal ileum,1280,1024,471.041
1f58cb41-82eb-4760-a8ba-934258f9c7d6.jpg,Small bowel_terminal ileum,1920,1072,580.963
0e25b6ab-d388-4c95-a57d-ef817008eb4a.jpg,Small bowel_terminal ileum,1920,1072,457.673
17eabac0-cbdb-4713-9692-d8e6763dfc5b.jpg,Small bowel_terminal ileum,768,576,149.445
1e636a66-9fda-48ce-a871-f88e9e41c4f1.jpg,Small bowel_terminal ileum,1280,1024,583.448
15187331-c78b-4347-887a-42d337ae1243.jpg,Small bowel_terminal ileum,768,576,188.296
1af4b587-a832-4fce-8cc0-c84ec99cc890.jpg,Small bowel_terminal ileum,768,576,144.089
10736547-032e-4fe9-96bc-4d8305934e40.jpg,Small bowel_terminal ileum,768,576,192.821
0e886d95-8392-479b-99fe-af6a63bd2fb6.jpg,Small bowel_terminal ileum,1280,1024,482.787
131db18f-e001-454b-bcb0-123977b5d45e.jpg,Small bowel_terminal ileum,768,576,166.722
0cec4028-9c0f-46a8-ae90-214f0bd89d52.jpg,Small bowel_terminal ileum,1920,1072,464.382
0d87e1ea-fa33-4cbf-a23a-7be590fbab10.jpg,Small bowel_terminal ileum,1280,1024,367.792
42529937-06a4-430d-bcc1-d801fd111bff.jpg,Small bowel_terminal ileum,768,576,220.303
0e7fe06e-9691-4020-9d18-3c1c861f57a9.jpg,Small bowel_terminal ileum,1920,1072,460.309
0abb72a2-68c1-4f40-8324-046f4c2587bc.jpg,Small bowel_terminal ileum,1280,1024,596.925
2ce6bb9b-cde6-4168-b494-9bb2c32a6ebf.jpg,Small bowel_terminal ileum,768,576,233.02
01e01255-7976-4960-885e-c21537a4be78.jpg,Small bowel_terminal ileum,1280,1024,531.286
0c1d4e34-220d-4aae-a277-6ce03436f027.jpg,Small bowel_terminal ileum,1280,1024,335.481
0fb44054-5454-419c-8f11-1b9e41525620.jpg,Small bowel_terminal ileum,1280,1024,370.828
0da671cf-ae1e-4446-8d6a-be976d2b46ed.jpg,Small bowel_terminal ileum,1920,1072,492.753
331bfc77-13f6-4cf9-8f3f-87d7fcbfcce2.jpg,Small bowel_terminal ileum,768,576,199.544
1946199a-4028-4e04-85ad-95f0c880c89d.jpg,Small bowel_terminal ileum,1280,1024,415.435
0cebc63f-f7c4-41a0-8d07-bb4dc7a0c9a4.jpg,Small bowel_terminal ileum,1280,1024,538.577
0ad63553-944d-4fe5-9b69-57b4183a9163.jpg,Small bowel_terminal ileum,768,576,153.075
3598864b-4a47-40c0-b326-860b57f5324c.jpg,Small bowel_terminal ileum,768,576,203.815
83e96932-3d1b-4d29-bf33-85807e1bf231.jpg,Small bowel_terminal ileum,768,576,330.968
032512bd-6225-4640-841e-e1abfbd02acd.jpg,Small bowel_terminal ileum,1280,1024,324.51
04f41725-6f51-4cb4-b752-596cb831fb7c.jpg,Small bowel_terminal ileum,768,576,142.069
0607ebcb-1dca-4cb4-a894-6c0477e15269.jpg,Small bowel_terminal ileum,768,576,175.28
1c0cb412-ac75-45d9-8c09-a6fd5891778d.jpg,Small bowel_terminal ileum,768,576,344.166
1d7acde7-97c6-4524-9f2d-15994c201970.jpg,Small bowel_terminal ileum,768,576,263.832
0b1522e4-b6a0-423a-8850-51dc5a60d34c.jpg,Small bowel_terminal ileum,1920,1072,469.475
0cee5fc1-33a5-4cc0-98a6-ce4eb8b2f233.jpg,Small bowel_terminal ileum,1920,1072,481.226
0e73c105-1dad-473c-8154-23eeab792f5b.jpg,Small bowel_terminal ileum,768,576,148.82
03a2c566-038d-46b8-ae6d-d1b579e6c648.jpg,Small bowel_terminal ileum,1280,1024,471.437
90854828-75d4-4e17-ab7a-0cf84d39957b.jpg,Small bowel_terminal ileum,1920,1072,575.885
15fbc1ba-5c55-41d1-903b-bb23bc72102e.jpg,Small bowel_terminal ileum,768,576,150.765
0219d342-1af6-4cd8-8507-512c6c46fdf1.jpg,Small bowel_terminal ileum,1280,1024,442.252
0e857a0f-3dd0-45cd-a4db-8fb9f26d5a50.jpg,Small bowel_terminal ileum,1920,1072,378.794
07171ebe-1442-44e3-88c3-b976f55bc272.jpg,Small bowel_terminal ileum,768,576,193.69
01bbb4d9-d724-410f-b9db-61553ffa1e00.jpg,Small bowel_terminal ileum,768,576,173.06
1a77f543-44e5-46a0-b43e-789f56a08cda.jpg,Small bowel_terminal ileum,768,576,191.462
18a3d645-6ec5-4f42-9cf3-1836edd614d5.jpg,Small bowel_terminal ileum,768,576,142.332
0c4b8996-9031-4887-a822-7c4564bdc9a5.jpg,Small bowel_terminal ileum,768,576,191.866
0c615fcd-eab0-4c8c-a517-b67e54f829a6.jpg,Small bowel_terminal ileum,720,576,130.419
0f3b6026-84a1-4f1b-a337-cb91427757e5.jpg,Small bowel_terminal ileum,1280,1024,408.488
35c705fa-ed44-4ea8-b2f9-d07ca1dba648.jpg,Small bowel_terminal ileum,1280,1024,810.701
14a7473e-8668-4bd4-abec-25ca07c8ec15.jpg,Small bowel_terminal ileum,768,576,152.122
263ea0b2-b561-41db-9ac0-891f0e6e8e3b.jpg,Small bowel_terminal ileum,768,576,201.578
0f5bf98f-1ed9-4d2b-b4e8-d09e4ccb7248.jpg,Small bowel_terminal ileum,1280,1024,619.239
06e952ab-9143-47cd-8426-759a3f2517c8.jpg,Small bowel_terminal ileum,720,576,86.717
1992cda8-fd16-4c96-a5a0-eaba6b8a8ef4.jpg,Small bowel_terminal ileum,768,576,133.617
0648412e-8977-40f5-a44d-2fd813010f4a.jpg,Small bowel_terminal ileum,1280,1024,514.163
332eda6a-643a-4744-baa4-96ff22b50b9b.jpg,Small bowel_terminal ileum,768,576,163.725
1dc47383-85a1-4bf7-83ad-45ad91826276.jpg,Small bowel_terminal ileum,720,576,193.691
05a51b65-57e8-4a0b-be8d-b28d6b9d723b.jpg,Small bowel_terminal ileum,1280,1024,440.877
58399652-1a04-41c5-9593-1a6cb08f596d.jpg,Small bowel_terminal ileum,1280,1024,953.99
0b51de2e-5a81-4a93-84b8-38cf2be202a2.jpg,Small bowel_terminal ileum,768,576,156.555
0e063f1e-e15d-497e-990f-68ab7d31451b.jpg,Small bowel_terminal ileum,1280,1024,409.991
1ae62e17-b303-462a-ae0e-6a76169f3630.jpg,Small bowel_terminal ileum,1920,1072,458.554
120ea496-4f12-48d0-b54f-b8f437cc859e.jpg,Small bowel_terminal ileum,768,576,187.658
1872ed4d-8b5d-4400-aa17-8467b30d0c96.jpg,Small bowel_terminal ileum,768,576,154.475
1882b031-2d07-4600-a106-3c5995afe249.jpg,Small bowel_terminal ileum,768,576,157.781
0dd5b4c7-2682-4c4a-b9fb-006b20c71693.jpg,Small bowel_terminal ileum,720,576,115.035
18aeac5e-3034-4f10-88b5-b008f7ad474a.jpg,Small bowel_terminal ileum,1280,1024,475.967
040aaa3a-ed04-415d-83fe-45fc86389ae5.jpg,Small bowel_terminal ileum,1280,1024,464.478
0e15662b-eebc-44cf-a2e6-cc2533608606.jpg,Small bowel_terminal ileum,1280,1024,481.563
02c80d06-ae00-4935-867f-d13d06cc4339.jpg,Small bowel_terminal ileum,768,576,168.713
0e75dceb-d4b0-4367-8454-10bf66fe4c20.jpg,Small bowel_terminal ileum,768,576,159.716
0e88fbde-8c0e-4d24-90a5-cf1949d8d0db.jpg,Small bowel_terminal ileum,768,576,133.106
05b0058c-4dac-4eba-9d4d-df71c6231dd0.jpg,Small bowel_terminal ileum,720,576,128.395
2af93f2b-fd22-4739-9708-c1c2576cea64.jpg,Small bowel_terminal ileum,1280,1024,601.193
0be05a91-9b2a-41d1-a0f7-643d2a1b03c2.jpg,Small bowel_terminal ileum,768,576,138.691
3b7dd2fc-3106-46e8-89fc-bde1cf92db5e.jpg,Small bowel_terminal ileum,1280,1024,903.905
1c36ed63-382f-4f8c-80cd-b56741cb7745.jpg,Small bowel_terminal ileum,1280,1024,710.85
033b9a40-7e14-4fb2-83d0-56b7d9c444ab.jpg,Small bowel_terminal ileum,1280,1024,522.277
0ed65959-6278-4c83-9c7d-5ac0ab2b9487.jpg,Small bowel_terminal ileum,1280,1024,444.841
0bade6e0-8fea-4819-9292-fbb841f0c5a0.jpg,Small bowel_terminal ileum,1280,1024,410.249
003ef0af-3fc5-4b42-b90e-37c2847fb6df.jpg,Small bowel_terminal ileum,768,576,166.267
0eacf75c-9f4c-4643-86b2-df9957939e17.jpg,Small bowel_terminal ileum,768,576,187.749
